fecha	hora_colocacion 	hora_retiro	sexo	ubicacion	codigo_palma	numero_trampas	posicion_GPS	estado	Fecha_apertura	dia_despues_antesis	SYLV1	ND2	ND3	ND4	ND5	MONO1	PTIL1	ND8	OTROS ND	ST1	ST2	ST3	ST4	ST5	ST6	ST7	ST8	ST9	ST10	ST11	ST12	ST13	ST14	ST15	ST16	OTROS ST	CU1_4	CU2-CU5	CU3_9	CU6	CU7	CU10	OTROS CU	SCO1	SCO2	SCO3	SCO4	SCO5	CHRY1	CHRY2	CHRY3	CHRY4	CHRY5	CHRY6	OTROS CHRY	CARA1	DYN1	DYN2	DYN3	HIST1	HIST2	DERM1	DERM2	DERM3	OTROS COLEOPTEROS	HYM1	HYM2	HYM3	HYM4	HYM5	HYM6	HYM7	HYM8	HYMA	HYMB	HYMC	HYMD	HYME	HYMF	HYMG	HYMH	OTROS HYM 	D1	D2	D3	D4	D5
2021.08.19	08:00	19:00	Masculino	Bosque	B-010_M	b					9	0	14	10	234	0	12	0	0	0	0	2	19	161	1	0	0	1	0	0	1	0	2	1	0	0	13	61	108	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	24	8	1	3	1	0	1	0	0	1	0
2021.08.20	12:00	18:00	Masculino	Bosque	B-010_M	b					2	0	9	4	21	1	1	0	0	0	1	0	4	159	1	0	0	2	0	0	0	0	1	0	0	0	9	17	6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	1	1	1	0	0	0	0	0	0	0
2021.08.20	18:00	08:00	Masculino	Bosque	B-010_M	b					0	0	2	3	17	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.23	12:00	18:30	Femenino	Bosque	B-041b_F	a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.23	08:00	14:43	Femenino	Bosque	B-041b_F	a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.24	18:00	08:20	Femenino	Bosque	B-041b_F	a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.23	12:00	19:37	Femenino	Bosque	B-046_F	a					0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.24	18:00	08:07	Femenino	Bosque	B-046_F	a					2	0	0	0	88	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.25	18:00	08:40	Femenino	Bosque	B-041b_F	a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.24	08:00	14:55	Femenino	Bosque	B-041b_F	a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
